都道府県,,合　計,１月,２月,３月,４月,５月,６月,７月,８月,９月,１０月
北海道,, 776 , 71 , 63 , 77 , 74 , 70 , 75 , 94 , 71 , 89 , 92 
青　森,, 212 , 16 , 16 , 23 , 21 , 19 , 14 , 27 , 24 , 24 , 28 
岩　手,, 226 , 21 , 18 , 30 , 26 , 18 , 23 , 27 , 19 , 23 , 21 
宮　城,, 355 , 31 , 36 , 46 , 33 , 33 , 29 , 34 , 39 , 33 , 41 
秋　田,, 163 , 20 , 5 , 17 , 13 , 18 , 13 , 22 , 19 , 21 , 15 
山　形,, 170 , 25 , 11 , 15 , 16 , 16 , 19 , 16 , 13 , 19 , 20 
福　島,, 312 , 20 , 22 , 35 , 21 , 39 , 24 , 40 , 38 , 36 , 37 
東　京,," 1,845 ", 168 , 157 , 178 , 124 , 170 , 185 , 203 , 211 , 194 , 255 
茨　城,, 382 , 41 , 43 , 39 , 25 , 33 , 29 , 48 , 30 , 38 , 56 
栃　木,, 287 , 34 , 24 , 38 , 30 , 20 , 23 , 27 , 37 , 25 , 29 
群　馬,, 303 , 28 , 23 , 25 , 38 , 28 , 32 , 27 , 45 , 27 , 30 
埼　玉,, 978 , 86 , 86 , 98 , 89 , 71 , 93 , 90 , 104 , 110 , 151 
千　葉,, 844 , 72 , 61 , 95 , 73 , 79 , 80 , 92 , 107 , 91 , 94 
神奈川,," 1,006 ", 77 , 80 , 103 , 91 , 94 , 90 , 114 , 112 , 97 , 148 
新　潟,, 360 , 30 , 23 , 35 , 28 , 34 , 37 , 37 , 50 , 38 , 48 
山　梨,, 149 , 14 , 17 , 15 , 11 , 8 , 11 , 14 , 18 , 26 , 15 
長　野,, 286 , 35 , 23 , 28 , 17 , 42 , 17 , 31 , 22 , 37 , 34 
静　岡,, 509 , 62 , 50 , 60 , 47 , 60 , 40 , 57 , 35 , 38 , 60 
富　山,, 183 , 17 , 12 , 18 , 23 , 21 , 20 , 16 , 14 , 15 , 27 
石　川,, 149 , 15 , 12 , 17 , 11 , 12 , 17 , 14 , 18 , 18 , 15 
福　井,, 111 , 12 , 9 , 17 , 10 , 5 , 13 , 6 , 19 , 13 , 7 
岐　阜,, 293 , 41 , 23 , 35 , 22 , 25 , 19 , 27 , 31 , 35 , 35 
愛　知,, 976 , 107 , 88 , 92 , 75 , 83 , 76 , 97 , 121 , 111 , 126 
三　重,, 278 , 30 , 23 , 25 , 23 , 19 , 26 , 30 , 35 , 28 , 39 
滋　賀,, 204 , 21 , 20 , 17 , 25 , 10 , 19 , 18 , 23 , 22 , 29 
京　都,, 294 , 27 , 19 , 32 , 34 , 21 , 24 , 31 , 33 , 32 , 41 
大　阪,," 1,104 ", 113 , 96 , 104 , 93 , 132 , 106 , 130 , 121 , 93 , 116 
兵　庫,, 738 , 76 , 56 , 59 , 63 , 68 , 89 , 71 , 80 , 77 , 99 
奈　良,, 158 , 16 , 6 , 13 , 13 , 14 , 10 , 30 , 24 , 17 , 15 
和歌山,, 143 , 14 , 15 , 14 , 14 , 13 , 13 , 20 , 9 , 18 , 13 
鳥　取,, 64 , 7 , 7 , 4 , 6 , 5 , 4 , 5 , 7 , 9 , 10 
島　根,, 98 , 3 , 9 , 6 , 7 , 11 , 12 , 10 , 13 , 16 , 11 
岡　山,, 229 , 27 , 15 , 26 , 20 , 15 , 18 , 24 , 22 , 32 , 30 
広　島,, 350 , 35 , 28 , 42 , 27 , 25 , 30 , 38 , 49 , 37 , 39 
山　口,, 199 , 19 , 16 , 30 , 19 , 20 , 16 , 9 , 15 , 26 , 29 
徳　島,, 88 , 6 , 10 , 9 , 6 , 5 , 7 , 13 , 8 , 6 , 18 
香　川,, 132 , 18 , 17 , 11 , 13 , 8 , 9 , 10 , 10 , 20 , 16 
愛　媛,, 178 , 17 , 18 , 16 , 18 , 19 , 13 , 27 , 14 , 21 , 15 
高　知,, 102 , 8 , 12 , 8 , 9 , 6 , 11 , 12 , 11 , 15 , 10 
福　岡,, 730 , 71 , 68 , 65 , 61 , 70 , 65 , 75 , 68 , 82 , 105 
佐　賀,, 97 , 14 , 11 , 12 , 7 , 6 , 6 , 8 , 12 , 8 , 13 
長　崎,, 143 , 15 , 19 , 17 , 19 , 14 , 10 , 12 , 23 , 9 , 5 
熊　本,, 251 , 23 , 27 , 33 , 27 , 21 , 17 , 24 , 24 , 28 , 27 
大　分,, 154 , 21 , 8 , 12 , 21 , 5 , 19 , 21 , 19 , 15 , 13 
宮　崎,, 194 , 17 , 18 , 18 , 11 , 24 , 14 , 16 , 27 , 17 , 32 
鹿児島,, 246 , 20 , 22 , 22 , 26 , 29 , 26 , 23 , 29 , 26 , 23 
沖　縄,, 170 , 19 , 8 , 17 , 15 , 17 , 18 , 23 , 16 , 16 , 21 
